date,total_deaths,hospital_deaths
3/8/20 0:00,0,0
3/9/20 0:00,0,0
3/10/20 0:00,0,0
3/11/20 0:00,0,0
3/12/20 0:00,0,0
3/13/20 0:00,0,0
3/14/20 0:00,0,0
3/15/20 0:00,0,0
3/16/20 0:00,0,0
3/17/20 0:00,0,0
3/18/20 0:00,0,0
3/19/20 0:00,0,0
3/20/20 0:00,0,0
3/21/20 0:00,0,0
3/22/20 0:00,0,0
3/23/20 0:00,0,0
3/24/20 0:00,1,0
3/25/20 0:00,0,0
3/26/20 0:00,2,1
3/27/20 0:00,0,0
3/28/20 0:00,0,0
3/29/20 0:00,0,0
3/30/20 0:00,1,1
3/31/20 0:00,0,0
4/1/20 0:00,1,1
4/2/20 0:00,0,0
4/3/20 0:00,2,1
4/4/20 0:00,1,0
4/5/20 0:00,3,2
4/6/20 0:00,1,1
4/7/20 0:00,1,1
4/8/20 0:00,1,0
4/9/20 0:00,2,1
4/10/20 0:00,0,0
4/11/20 0:00,3,0
4/12/20 0:00,1,1
4/13/20 0:00,0,0
4/14/20 0:00,3,1
4/15/20 0:00,3,3
4/16/20 0:00,3,0
4/17/20 0:00,4,4
4/18/20 0:00,2,1
4/19/20 0:00,3,0
4/20/20 0:00,1,0
4/21/20 0:00,2,0
4/22/20 0:00,2,1
4/23/20 0:00,3,2
4/24/20 0:00,5,1
4/25/20 0:00,1,1
4/26/20 0:00,3,2
4/27/20 0:00,0,0
4/28/20 0:00,3,2
4/29/20 0:00,0,0
4/30/20 0:00,2,0
5/1/20 0:00,3,1
5/2/20 0:00,3,0
5/3/20 0:00,2,1
5/4/20 0:00,2,2
5/5/20 0:00,1,0
5/6/20 0:00,1,0
5/7/20 0:00,3,1
5/8/20 0:00,4,3
5/9/20 0:00,1,1
5/10/20 0:00,2,2
5/11/20 0:00,5,1
5/12/20 0:00,2,0
5/13/20 0:00,2,1
5/14/20 0:00,1,1
5/15/20 0:00,2,2
5/16/20 0:00,0,0
5/17/20 0:00,1,0
5/18/20 0:00,4,2
5/19/20 0:00,1,1
5/20/20 0:00,2,0
5/21/20 0:00,2,1
5/22/20 0:00,3,2
5/23/20 0:00,1,0
5/24/20 0:00,1,0
5/25/20 0:00,1,1
5/26/20 0:00,2,1
5/27/20 0:00,2,0
5/28/20 0:00,3,1
5/29/20 0:00,2,1
5/30/20 0:00,0,0
5/31/20 0:00,1,0
6/1/20 0:00,1,1
6/2/20 0:00,2,2
6/3/20 0:00,2,2
6/4/20 0:00,1,1
6/5/20 0:00,1,1
6/6/20 0:00,1,1
6/7/20 0:00,1,1
6/8/20 0:00,2,0
6/9/20 0:00,0,0
6/10/20 0:00,2,0
6/11/20 0:00,2,2
6/12/20 0:00,3,3
6/13/20 0:00,2,2
6/14/20 0:00,1,0
6/15/20 0:00,3,1
6/16/20 0:00,3,1
6/17/20 0:00,4,2
6/18/20 0:00,2,1
6/19/20 0:00,2,1
6/20/20 0:00,1,0
6/21/20 0:00,2,0
6/22/20 0:00,1,1
6/23/20 0:00,3,1
6/24/20 0:00,2,2
6/25/20 0:00,2,0
6/26/20 0:00,4,2
6/27/20 0:00,4,0
6/28/20 0:00,5,2
6/29/20 0:00,6,2
6/30/20 0:00,8,5
7/1/20 0:00,6,2
7/2/20 0:00,4,3
7/3/20 0:00,7,2
7/4/20 0:00,7,4
7/5/20 0:00,7,2
7/6/20 0:00,9,5
7/7/20 0:00,14,10
7/8/20 0:00,9,5
7/9/20 0:00,10,8
7/10/20 0:00,10,4
7/11/20 0:00,9,5
7/12/20 0:00,6,5
7/13/20 0:00,5,3
7/14/20 0:00,9,7
7/15/20 0:00,15,8
7/16/20 0:00,19,14
7/17/20 0:00,15,7
7/18/20 0:00,9,5
7/19/20 0:00,9,7
7/20/20 0:00,6,5
7/21/20 0:00,10,6
7/22/20 0:00,13,10
7/23/20 0:00,14,9
7/24/20 0:00,7,2
7/25/20 0:00,9,7
7/26/20 0:00,8,7
7/27/20 0:00,9,5
7/28/20 0:00,10,7
7/29/20 0:00,13,9
7/30/20 0:00,8,4
7/31/20 0:00,11,7
8/1/20 0:00,6,4
8/2/20 0:00,15,11
8/3/20 0:00,8,3
8/4/20 0:00,5,2
8/5/20 0:00,12,4
8/6/20 0:00,6,3
8/7/20 0:00,10,8
8/8/20 0:00,9,3
8/9/20 0:00,5,3
8/10/20 0:00,5,5
8/11/20 0:00,3,3
8/12/20 0:00,4,3
8/13/20 0:00,8,7
8/14/20 0:00,10,3
8/15/20 0:00,3,2
8/16/20 0:00,5,2
8/17/20 0:00,3,1
8/18/20 0:00,5,2
8/19/20 0:00,5,3
8/20/20 0:00,3,3
8/21/20 0:00,7,2
8/22/20 0:00,1,1
8/23/20 0:00,2,2
8/24/20 0:00,5,2
8/25/20 0:00,4,1
8/26/20 0:00,5,3
8/27/20 0:00,3,2
8/28/20 0:00,1,0
8/29/20 0:00,3,3
8/30/20 0:00,6,3
8/31/20 0:00,2,0
9/1/20 0:00,2,1
9/2/20 0:00,1,1
9/3/20 0:00,3,1
9/4/20 0:00,3,2
9/5/20 0:00,4,4
9/6/20 0:00,2,2
9/7/20 0:00,2,2
9/8/20 0:00,2,1
9/9/20 0:00,3,3
9/10/20 0:00,3,1
9/11/20 0:00,1,0
9/12/20 0:00,3,1
9/13/20 0:00,6,3
9/14/20 0:00,0,0
9/15/20 0:00,2,1
9/16/20 0:00,1,1
9/17/20 0:00,2,2
9/18/20 0:00,2,2
9/19/20 0:00,3,2
9/20/20 0:00,2,0
9/21/20 0:00,1,0
9/22/20 0:00,1,1
9/23/20 0:00,1,1
9/24/20 0:00,2,1
9/25/20 0:00,2,1
9/26/20 0:00,0,0
9/27/20 0:00,0,0
9/28/20 0:00,2,2
9/29/20 0:00,1,0
9/30/20 0:00,3,0
10/1/20 0:00,1,1
10/2/20 0:00,2,0
10/3/20 0:00,4,1
10/4/20 0:00,4,1
10/5/20 0:00,1,1
10/6/20 0:00,0,0
10/7/20 0:00,0,0
10/8/20 0:00,2,1
10/9/20 0:00,0,0
10/10/20 0:00,5,2
10/11/20 0:00,0,0
10/12/20 0:00,0,0
10/13/20 0:00,2,0
10/14/20 0:00,2,2
10/15/20 0:00,3,3
10/16/20 0:00,1,1
10/17/20 0:00,1,1
10/18/20 0:00,2,2
10/19/20 0:00,2,2
10/20/20 0:00,0,0
10/21/20 0:00,2,1
10/22/20 0:00,2,2
10/23/20 0:00,1,1
10/24/20 0:00,0,0
10/25/20 0:00,0,0
10/26/20 0:00,1,0
10/27/20 0:00,3,2
10/28/20 0:00,5,4
10/29/20 0:00,3,2
10/30/20 0:00,1,1
10/31/20 0:00,3,3
