vaccine_time,vaccine_amount,lambda_v1,lambda_v2,second_dose_time,vaccine_type,dose_type,effect_time
1/10/21,[0.022678],[0.8],[0.9],[21],[1],[2],14
1/11/21,[0.001362],[0.8],[0.9],[21],[1],[2],14
1/12/21,[0.000068],[0.8],[0.9],[21],[1],[2],14
1/13/21,[0.001359],[0.8],[0.9],[21],[1],[2],14
1/14/21,[0.003048],[0.8],[0.9],[21],[1],[2],14
1/15/21,[0],[0.8],[0.9],[21],[1],[2],14
1/16/21,[0],[0.8],[0.9],[21],[1],[2],14
1/17/21,[0.003781],[0.8],[0.9],[21],[1],[2],14
1/18/21,[0.004099],[0.8],[0.9],[21],[1],[2],14
1/19/21,[0.000607],[0.8],[0.9],[21],[1],[2],14
1/21/21,[0.002019],[0.8],[0.9],[21],[1],[2],14
1/22/21,[0.001797],[0.8],[0.9],[21],[1],[2],14
1/23/21,[0.002965],[0.8],[0.9],[21],[1],[2],14
1/24/21,[0],[0.8],[0.9],[21],[1],[2],14
1/25/21,[0.002965],[0.8],[0.9],[21],[1],[2],14
1/26/21,[0.000226],[0.8],[0.9],[21],[1],[2],14
1/27/21,[0.001848],[0.8],[0.9],[21],[1],[2],14
1/28/21,[0.001536],[0.8],[0.9],[21],[1],[2],14
1/29/21,[0.002057],[0.8],[0.9],[21],[1],[2],14
1/30/21,[0.002057],[0.8],[0.9],[21],[1],[2],14
1/31/21,[0],[0.8],[0.9],[21],[1],[2],14
2/1/21,[0.002057],[0.8],[0.9],[21],[1],[2],14
2/2/21,[0.001026],[0.8],[0.9],[21],[1],[2],14
2/3/21,[0.001026],[0.8],[0.9],[21],[1],[2],14
2/4/21,[0.001433],[0.8],[0.9],[21],[1],[2],14
2/5/21,[0.002489],[0.8],[0.9],[21],[1],[2],14
2/6/21,[0.004071],[0.8],[0.9],[21],[1],[2],14
2/7/21,[0],[0.8],[0.9],[21],[1],[2],14
2/8/21,[0.004071],[0.8],[0.9],[21],[1],[2],14
2/9/21,[0.000689],[0.8],[0.9],[21],[1],[2],14
2/10/21,[0.001635],[0.8],[0.9],[21],[1],[2],14
2/11/21,[0.001738],[0.8],[0.9],[21],[1],[2],14
2/12/21,[0.001738],[0.8],[0.9],[21],[1],[2],14
2/13/21,[0.003387],[0.8],[0.9],[21],[1],[2],14
2/14/21,[0],[0.8],[0.9],[21],[1],[2],14
2/15/21,[0.001805],[0.8],[0.9],[21],[1],[2],14
2/16/21,[0.000635],[0.8],[0.9],[21],[1],[2],14
2/17/21,[0.000731],[0.8],[0.9],[21],[1],[2],14
2/18/21,[0.000745],[0.8],[0.9],[21],[1],[2],14
2/19/21,[0.000561],[0.8],[0.9],[21],[1],[2],14
2/20/21,[0.000561],[0.8],[0.9],[21],[1],[2],14
2/21/21,[0.000561],[0.8],[0.9],[21],[1],[2],14
2/22/21,[0.000516],[0.8],[0.9],[21],[1],[2],14
2/23/21,[0.001526],[0.8],[0.9],[21],[1],[2],14
2/24/21,[0.001841],[0.8],[0.9],[21],[1],[2],14
2/25/21,[0.001809],[0.8],[0.9],[21],[1],[2],14
2/26/21,[0.002146],[0.8],[0.9],[21],[1],[2],14
2/27/21,[0.005807],[0.8],[0.9],[21],[1],[2],14
2/28/21,[0],[0.8],[0.9],[21],[1],[2],14
3/1/21,[0.005807],[0.8],[0.9],[21],[1],[2],14
3/2/21,[0.00243],[0.8],[0.9],[21],[1],[2],14
3/3/21,[0.008341],[0.8],[0.9],[21],[1],[2],14
3/4/21,[0.002819],[0.8],[0.9],[21],[1],[2],14
3/5/21,[0.001146],[0.8],[0.9],[21],[1],[2],14
3/6/21,[0.003276],[0.8],[0.9],[21],[1],[2],14
3/7/21,[0.006809],[0.8],[0.9],[21],[1],[2],14
3/9/21,[0.004844],[0.8],[0.9],[21],[1],[2],14
3/10/21,[0.013785],[0.8],[0.9],[21],[1],[2],14
3/11/21,[0.005683],[0.8],[0.9],[21],[1],[2],14
3/12/21,[0],[0.8],[0.9],[21],[1],[2],14
3/13/21,[0.018816],[0.8],[0.9],[21],[1],[2],14
3/14/21,[0.00596],[0.8],[0.9],[21],[1],[2],14
3/15/21,[0.005028],[0.8],[0.9],[21],[1],[2],14
3/16/21,[0.005523],[0.8],[0.9],[21],[1],[2],14
3/17/21,[0.006015],[0.8],[0.9],[21],[1],[2],14
3/18/21,[0.005329],[0.8],[0.9],[21],[1],[2],14
3/19/21,[0.00612],[0.8],[0.9],[21],[1],[2],14
3/20/21,[0.006598],[0.8],[0.9],[21],[1],[2],14
3/21/21,[0.003126],[0.8],[0.9],[21],[1],[2],14
3/22/21,[0.006484],[0.8],[0.9],[21],[1],[2],14
3/23/21,[0.002203],[0.8],[0.9],[21],[1],[2],14
3/24/21,[0.006242],[0.8],[0.9],[21],[1],[2],14
3/25/21,[0.005602],[0.8],[0.9],[21],[1],[2],14
3/26/21,[0.005658],[0.8],[0.9],[21],[1],[2],14
3/27/21,[0.002089],[0.8],[0.9],[21],[1],[2],14
3/28/21,[0.002865],[0.8],[0.9],[21],[1],[2],14
3/29/21,[0.007415],[0.8],[0.9],[21],[1],[2],14
3/30/21,[0.003571],[0.8],[0.9],[21],[1],[2],14
3/31/21,[0.004203],[0.8],[0.9],[21],[1],[2],14
4/1/21,[0.007244],[0.8],[0.9],[21],[1],[2],14
4/2/21,[0.005852],[0.8],[0.9],[21],[1],[2],14
4/3/21,[0.00451],[0.8],[0.9],[21],[1],[2],14
4/4/21,[0.00185],[0.8],[0.9],[21],[1],[2],14
4/5/21,[0.009412],[0.8],[0.9],[21],[1],[2],14
4/6/21,[0.006465],[0.8],[0.9],[21],[1],[2],14
4/7/21,[0.006299],[0.8],[0.9],[21],[1],[2],14
4/8/21,[0.008868],[0.8],[0.9],[21],[1],[2],14
4/9/21,[0.007834],[0.8],[0.9],[21],[1],[2],14
4/10/21,[0.009904],[0.8],[0.9],[21],[1],[2],14
4/11/21,[0.00719],[0.8],[0.9],[21],[1],[2],14
4/12/21,[0.003665],[0.8],[0.9],[21],[1],[2],14
4/13/21,[0.004556],[0.8],[0.9],[21],[1],[2],14
4/14/21,[0.005596],[0.8],[0.9],[21],[1],[2],14
4/15/21,[0],[0.8],[0.9],[21],[1],[2],14
4/16/21,[0.063245],[0.8],[0.9],[21],[1],[2],14
4/17/21,[0],[0.8],[0.9],[21],[1],[2],14
4/18/21,[0.011066],[0.8],[0.9],[21],[1],[2],14
4/19/21,[0.003939],[0.8],[0.9],[21],[1],[2],14
4/20/21,[0.002272],[0.8],[0.9],[21],[1],[2],14
4/21/21,[0.004794],[0.8],[0.9],[21],[1],[2],14
4/22/21,[0.005248],[0.8],[0.9],[21],[1],[2],14
4/23/21,[0.004761],[0.8],[0.9],[21],[1],[2],14
4/24/21,[0],[0.8],[0.9],[21],[1],[2],14
4/25/21,[0.009334],[0.8],[0.9],[21],[1],[2],14
4/26/21,[0.002183],[0.8],[0.9],[21],[1],[2],14
4/27/21,[0.002496],[0.8],[0.9],[21],[1],[2],14
4/28/21,[0.002917],[0.8],[0.9],[21],[1],[2],14
4/29/21,[0.003832],[0.8],[0.9],[21],[1],[2],14
4/30/21,[0],[0.8],[0.9],[21],[1],[2],14
5/1/21,[0.007821],[0.8],[0.9],[21],[1],[2],14
5/2/21,[0.00149],[0.8],[0.9],[21],[1],[2],14
5/3/21,[0.001498],[0.8],[0.9],[21],[1],[2],14
5/4/21,[0.000945],[0.8],[0.9],[21],[1],[2],14
5/5/21,[0.003037],[0.8],[0.9],[21],[1],[2],14
5/6/21,[0.001910113],[0.8],[0.9],[21],[1],[2],14
5/7/21,[0],[0.8],[0.9],[21],[1],[2],14
5/8/21,[0],[0.8],[0.9],[21],[1],[2],14
5/9/21,[0],[0.8],[0.9],[21],[1],[2],14
