vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
9/27/21,0.003402,0.00,0.00,0.00,0.00,2954.38,503.88,804.08,349.01,1550.55,1214.21
9/28/21,0.000204,0.00,0.00,0.00,0.00,177.48,30.27,48.30,20.97,93.15,72.94
9/29/21,0.000010,0.00,0.00,0.00,0.00,8.83,1.51,2.40,1.04,4.64,3.63
9/30/21,0.000204,0.00,0.00,0.00,0.00,177.00,30.19,48.17,20.91,92.89,72.74
10/1/21,0.000457,0.00,0.00,0.00,0.00,397.13,67.73,108.08,46.91,208.43,163.22
10/2/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/3/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/4/21,0.000567,0.00,0.00,0.00,0.00,492.54,84.00,134.05,58.18,258.50,202.43
10/5/21,0.000615,0.00,0.00,0.00,0.00,533.93,91.06,145.32,63.07,280.22,219.44
10/6/21,0.000091,0.00,0.00,0.00,0.00,79.13,13.50,21.54,9.35,41.53,32.52
10/8/21,0.000303,0.00,0.00,0.00,0.00,262.97,44.85,71.57,31.07,138.02,108.08
10/9/21,0.000270,0.00,0.00,0.00,0.00,234.07,39.92,63.71,27.65,122.85,96.20
10/10/21,0.000445,0.00,0.00,0.00,0.00,386.28,65.88,105.13,45.63,202.73,158.76
10/11/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/12/21,0.000445,0.00,0.00,0.00,0.00,386.28,65.88,105.13,45.63,202.73,158.76
10/13/21,0.000034,0.00,0.00,0.00,0.00,29.50,5.03,8.03,3.48,15.48,12.12
10/14/21,0.000277,0.00,0.00,0.00,0.00,240.68,41.05,65.51,28.43,126.32,98.92
10/15/21,0.000230,0.00,0.00,0.00,0.00,81.69,123.15,22.23,85.30,105.03,82.25
10/16/21,0.000309,0.00,0.00,0.00,0.00,0.00,247.08,0.00,171.13,140.62,110.12
10/17/21,0.000309,0.00,0.00,0.00,0.00,0.00,247.08,0.00,171.13,140.62,110.12
10/18/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/19/21,0.000309,0.00,0.00,0.00,0.00,0.00,247.08,0.00,171.13,140.62,110.12
10/20/21,0.000154,0.00,0.00,0.00,0.00,0.00,123.27,0.00,85.38,70.16,54.94
10/21/21,0.000154,0.00,0.00,0.00,0.00,0.00,123.27,0.00,85.38,70.16,54.94
10/22/21,0.000215,0.00,0.00,0.00,0.00,0.00,172.14,0.00,119.23,97.97,76.72
10/23/21,0.000373,0.00,0.00,0.00,0.00,0.00,298.95,0.00,207.06,170.15,133.24
10/24/21,0.000611,0.00,0.00,0.00,0.00,0.00,489.09,0.00,338.76,278.36,217.98
10/25/21,0.039612,0.00,0.00,0.00,0.00,25552.82,12518.22,6954.56,8670.57,18055.15,14138.77
10/26/21,0.002850,0.00,0.00,0.00,0.00,0.00,2282.43,0.00,1580.89,1299.03,1017.25
10/27/21,0.000482,0.00,0.00,0.00,0.00,0.00,386.27,0.00,267.54,219.84,172.15
10/28/21,0.001145,0.00,0.00,0.00,0.00,0.00,916.80,0.00,635.01,521.79,408.60
10/29/21,0.001217,0.00,0.00,0.00,0.00,0.00,974.58,0.00,675.03,554.67,434.36
10/30/21,0.001217,0.00,0.00,0.00,0.00,0.00,974.58,0.00,675.03,554.67,434.36
10/31/21,0.002371,0.00,0.00,0.00,0.00,0.00,1898.75,0.00,1315.14,1080.66,846.25
11/1/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/2/21,0.001264,0.00,0.00,0.00,0.00,0.00,1011.94,0.00,700.91,575.94,451.01
11/3/21,0.000445,0.00,0.00,0.00,0.00,0.00,356.01,0.00,246.59,202.62,158.67
11/4/21,0.000512,0.00,0.00,0.00,0.00,0.00,410.05,0.00,284.02,233.38,182.76
11/5/21,0.000522,0.00,0.00,0.00,0.00,0.00,417.81,0.00,289.39,237.79,186.21
11/6/21,0.000393,0.00,0.00,0.00,0.00,0.00,314.73,0.00,217.99,179.13,140.27
11/7/21,0.000393,0.00,0.00,0.00,0.00,0.00,314.73,0.00,217.99,179.13,140.27
11/8/21,0.000393,0.00,0.00,0.00,0.00,0.00,314.73,0.00,217.99,179.13,140.27
11/9/21,0.000361,0.00,0.00,0.00,0.00,0.00,289.31,0.00,200.39,164.66,128.94
11/10/21,0.001068,0.00,0.00,0.00,0.00,0.00,855.27,0.00,592.39,486.77,381.18
11/11/21,0.001289,0.00,0.00,0.00,0.00,0.00,1031.85,0.00,714.70,587.27,459.89
11/12/21,0.001266,0.00,0.00,0.00,0.00,0.00,1014.01,0.00,702.34,577.12,451.93
11/13/21,0.001502,0.00,0.00,0.00,0.00,0.00,1203.01,0.00,833.25,684.68,536.17
11/14/21,0.004065,0.00,0.00,0.00,0.00,0.00,3255.46,0.00,2254.85,1852.82,1450.92
11/15/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/16/21,0.004065,0.00,0.00,0.00,0.00,0.00,3255.46,0.00,2254.85,1852.82,1450.92
11/17/21,0.001701,0.00,0.00,0.00,0.00,0.00,1362.01,0.00,943.38,775.18,607.03
11/18/21,0.005839,0.00,0.00,0.00,0.00,0.00,4676.29,0.00,3238.97,2661.48,2084.17
11/19/21,0.001973,0.00,0.00,0.00,0.00,0.00,1580.22,0.00,1094.52,899.37,704.28
11/20/21,0.000802,0.00,0.00,0.00,0.00,0.00,661.61,0.00,458.26,347.43,272.07
11/21/21,0.002293,0.00,0.00,0.00,0.00,0.00,2062.41,0.00,1428.50,830.70,650.50
11/22/21,0.004766,0.00,0.00,0.00,0.00,0.00,4283.56,0.00,2966.95,1729.69,1354.51
11/23/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/24/21,0.003391,0.00,0.00,0.00,0.00,0.00,3046.43,0.00,2110.07,1231.52,964.38
11/25/21,0.009650,0.00,0.00,0.00,0.00,0.00,9642.75,0.00,6688.24,2575.24,2016.66
11/26/21,0.003978,0.00,0.00,0.00,0.00,0.00,4308.00,0.00,2260.60,1153.50,903.29
11/27/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/28/21,0.013171,0.00,0.00,0.00,0.00,0.00,13367.31,0.00,7636.80,4237.14,3318.05
11/29/21,0.004172,0.00,0.00,0.00,0.00,0.00,4733.06,0.00,2553.25,987.33,773.16
11/30/21,0.003520,0.00,0.00,0.00,0.00,0.00,4056.00,0.00,2117.80,817.46,640.14
12/1/21,0.003866,0.00,0.00,0.00,0.00,0.00,4421.80,0.00,2180.00,998.66,782.04
12/2/21,0.004211,0.00,0.00,0.00,0.00,4721.90,0.00,1757.20,762.71,1059.00,829.29
12/3/21,0.003730,0.00,0.00,0.00,0.00,4159.76,0.00,1607.17,697.59,910.78,713.22
12/4/21,0.004284,0.00,0.00,0.00,0.00,4590.75,0.00,1963.29,852.16,1055.92,826.88
12/5/21,0.004619,0.00,0.00,0.00,0.00,4877.05,0.00,2345.01,1017.84,995.07,779.23
12/6/21,0.002188,0.00,0.00,0.00,0.00,0.00,0.00,4744.80,0.00,0.00,0.00
12/7/21,0.004539,0.00,0.00,0.00,0.00,7532.60,0.00,0.00,0.00,1295.06,1014.14
12/8/21,0.001542,0.00,0.00,0.00,0.00,0.00,0.00,3343.80,0.00,0.00,0.00
12/9/21,0.004369,0.00,0.00,0.00,0.00,5411.40,0.00,2888.35,0.00,658.97,516.03
12/10/21,0.003921,0.00,0.00,0.00,0.00,4217.95,0.00,3323.65,0.00,538.67,421.83
12/11/21,0.003961,0.00,0.00,0.00,0.00,5346.75,0.00,1185.40,0.00,1152.49,902.50
12/12/21,0.001462,0.00,0.00,0.00,0.00,2530.70,0.00,0.00,0.00,358.93,281.07
12/13/21,0.002006,0.00,0.00,0.00,0.00,0.00,0.00,4348.55,0.00,0.00,0.00
12/14/21,0.005191,0.00,0.00,0.00,0.00,7666.15,0.00,1903.30,0.00,945.39,740.32
12/15/21,0.002500,0.00,0.00,0.00,0.00,3287.90,0.00,1345.40,0.00,441.26,345.54
12/16/21,0.002942,0.00,0.00,0.00,0.00,3332.70,0.00,2416.85,0.00,353.32,276.68
12/17/21,0.005071,0.00,0.00,0.00,0.00,8395.75,0.00,1759.00,0.00,471.65,369.35
12/18/21,0.004096,0.00,0.00,0.00,0.00,6688.90,0.00,1581.60,0.00,343.34,268.86
12/19/21,0.003157,0.00,0.00,0.00,0.00,6226.00,0.00,0.00,0.00,347.54,272.15
12/20/21,0.001295,0.00,0.00,0.00,0.00,0.00,0.00,2807.81,0.00,0.00,0.00
12/21/21,0.006588,0.00,0.00,0.00,0.00,10109.71,0.00,1621.10,0.00,1432.68,1121.91
12/22/21,0.004526,0.00,0.00,0.00,0.00,6813.50,0.00,1688.00,0.00,735.13,575.67
12/23/21,0.004409,0.00,0.00,0.00,0.00,6622.20,0.00,2264.25,0.00,377.77,295.83
12/24/21,0.006208,0.00,0.00,0.00,0.00,10415.25,0.00,2055.40,0.00,554.88,434.52
12/25/21,0.005484,0.00,0.00,0.00,0.00,7920.40,0.00,2992.85,0.00,547.98,429.11
12/26/21,0.006933,0.00,0.00,0.00,0.00,11585.36,0.00,1786.85,0.00,930.80,728.90
12/27/21,0.005033,0.00,0.00,0.00,0.00,9107.65,0.00,982.00,0.00,462.23,361.97
12/28/21,0.002566,0.00,0.00,0.00,0.00,4206.00,0.00,1019.50,0.00,189.45,148.35
12/29/21,0.003189,0.00,0.00,0.00,0.00,4452.90,0.00,1963.25,0.00,279.63,218.97
12/30/21,0.003917,0.00,0.00,0.00,0.00,7619.45,0.00,0.00,0.00,490.11,383.80
12/31/21,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/1/22,0.044272,0.00,0.00,0.00,0.00,57338.11,0.00,25318.91,0.00,7480.38,5857.80
1/2/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/3/22,0.007746,0.00,0.00,0.00,0.00,12469.05,0.00,3231.65,0.00,614.16,480.94
1/4/22,0.002757,0.00,0.00,0.00,0.00,4843.70,0.00,872.10,0.00,147.05,115.15
1/5/22,0.001590,0.00,0.00,0.00,0.00,2411.45,0.00,683.65,0.00,198.02,155.07
1/6/22,0.003356,0.00,0.00,0.00,0.00,5414.70,0.00,1151.10,0.00,398.19,311.82
1/7/22,0.003674,0.00,0.00,0.00,0.00,5975.40,0.00,1418.50,0.00,320.45,250.94
1/8/22,0.003333,0.00,0.00,0.00,0.00,5437.01,0.00,1277.30,0.00,287.03,224.77
1/9/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/10/22,0.006534,0.00,0.00,0.00,0.00,10204.21,0.00,2840.71,0.00,629.08,492.62
1/11/22,0.001528,0.00,0.00,0.00,0.00,2551.90,0.00,584.40,0.00,99.16,77.64
1/12/22,0.001747,0.00,0.00,0.00,0.00,2849.40,0.00,667.00,0.00,152.54,119.46
1/13/22,0.002042,0.00,0.00,0.00,0.00,3237.20,0.00,861.60,0.00,184.35,144.35
1/14/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/15/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/16/22,0.005474,0.00,0.00,0.00,0.00,7272.34,1240.32,1614.07,700.58,585.49,458.49
1/17/22,0.001043,0.00,0.00,0.00,0.00,401.63,1240.32,328.62,142.63,83.28,65.22
1/18/22,0.001049,0.00,0.00,0.00,0.00,492.88,1240.32,295.32,128.18,65.95,51.65
1/19/22,0.000662,0.00,0.00,0.00,0.00,1077.75,0.00,179.25,77.81,55.41,43.39
1/20/22,0.001819,0.00,0.00,0.00,0.00,2754.90,0.00,553.47,240.23,222.43,174.17
1/21/22,0.001644,0.00,0.00,0.00,0.00,2658.96,0.00,468.85,203.50,131.12,102.68
1/22/22,0.002043,0.00,0.00,0.00,0.00,3148.55,0.00,600.71,260.74,235.32,184.28
1/23/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/24/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/25/22,0.003383,0.00,0.00,0.00,0.00,5419.85,0.00,978.80,424.84,287.42,225.08
1/26/22,0.001114,0.00,0.00,0.00,0.00,1837.70,0.00,276.00,119.80,102.97,80.63
1/27/22,0.001443,0.00,0.00,0.00,0.00,2115.01,0.00,390.57,169.53,253.77,198.72
1/28/22,0.001648,0.00,0.00,0.00,128.32,2583.67,0.00,415.55,180.37,148.55,116.33
1/29/22,0.001441,0.00,0.00,0.00,73.50,2267.30,0.00,390.01,169.29,126.01,98.69
1/30/22,0.001802,0.00,0.00,0.00,1019.97,2066.11,0.00,403.77,175.26,135.88,106.41
1/31/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/1/22,0.005462,0.00,0.00,0.00,3249.54,6630.51,0.00,1017.45,441.62,283.15,221.73
2/2/22,0.001606,0.00,0.00,0.00,1253.48,1655.54,0.00,270.60,117.45,103.60,81.13
2/3/22,0.002507,0.00,0.00,0.00,2141.78,2480.14,0.00,408.74,177.41,128.33,100.49
2/4/22,0.002493,0.00,0.00,0.00,1823.84,2621.43,0.00,451.99,196.18,174.55,136.69
2/5/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/6/22,0.003535,0.00,0.00,984.12,1190.00,4164.52,0.00,672.78,292.02,202.38,158.48
2/7/22,0.003535,0.00,0.00,2174.12,0.00,4164.52,0.00,964.79,0.00,202.38,158.48
2/8/22,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/9/22,0.003004,0.00,0.00,2064.93,0.00,3465.99,0.00,748.87,0.00,131.07,102.64
2/10/22,0.001746,0.00,0.00,777.14,0.00,2240.81,0.00,532.97,0.00,131.22,102.76
