,date,hospitalized
1,2/19/20,0
2,2/20/20,0
3,2/21/20,0
4,2/22/20,0
5,2/23/20,0
6,2/24/20,0
7,2/25/20,0
8,2/26/20,0
9,2/27/20,0
10,2/28/20,0
11,2/29/20,0
12,3/1/20,0
13,3/2/20,0
14,3/3/20,0
15,3/4/20,0
16,3/5/20,0
17,3/6/20,0
18,3/7/20,0
19,3/8/20,0
20,3/9/20,0
21,3/10/20,0
22,3/11/20,0
23,3/12/20,0
0,03/13/20,0
1,03/14/20,0
2,03/15/20,0
3,03/16/20,0
4,03/17/20,0
5,03/18/20,0
6,03/19/20,0
7,03/20/20,0
8,03/21/20,0
9,03/22/20,1
10,03/23/20,0
11,03/24/20,1
12,03/25/20,1
13,03/26/20,9
14,03/27/20,8
15,03/28/20,9
16,03/29/20,11
17,03/30/20,12
18,03/31/20,17
19,04/01/20,23
20,04/02/20,29
21,04/03/20,31
22,04/04/20,37
23,04/05/20,43
24,04/06/20,43
25,04/07/20,41
26,04/08/20,40
27,04/09/20,41
28,04/10/20,42
29,04/11/20,48
30,04/12/20,44
31,04/13/20,50
32,04/14/20,48
33,04/15/20,41
34,04/16/20,41
35,04/17/20,39
36,04/18/20,35
37,04/19/20,36
38,04/20/20,37
39,04/21/20,35
40,04/22/20,31
41,04/23/20,34
42,04/24/20,36
43,04/25/20,34
44,04/26/20,32
45,04/27/20,35
46,04/28/20,36
47,04/29/20,36
48,04/30/20,35
49,05/01/20,39
50,05/02/20,34
51,05/03/20,35
52,05/04/20,33
53,05/05/20,32
54,05/06/20,33
55,05/07/20,32
56,05/08/20,36
57,05/09/20,36
58,05/10/20,39
59,05/11/20,36
60,05/12/20,34
61,05/13/20,31
62,05/14/20,35
63,05/15/20,34
64,05/16/20,36
65,05/17/20,35
66,05/18/20,35
67,05/19/20,39
68,05/20/20,38
69,05/21/20,39
70,05/22/20,38
71,05/23/20,40
72,05/24/20,39
73,05/25/20,42
74,05/26/20,41
75,05/27/20,41
76,05/28/20,38
77,05/29/20,39
78,05/30/20,34
79,05/31/20,35
80,06/01/20,40
81,06/02/20,41
82,06/03/20,39
