vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
1/10/21,0.022678,0.00,0.00,0.00,0.00,19695.87,3359.20,5360.50,2326.70,10336.98,8094.76
1/11/21,0.001362,0.00,0.00,0.00,0.00,1183.18,201.80,322.02,139.77,620.97,486.27
1/12/21,0.000068,0.00,0.00,0.00,0.00,58.88,10.04,16.02,6.96,30.90,24.20
1/13/21,0.001359,0.00,0.00,0.00,0.00,1179.97,201.25,321.15,139.39,619.29,484.95
1/14/21,0.003048,0.00,0.00,0.00,0.00,2647.53,451.55,720.56,312.76,1389.50,1088.10
1/15/21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/16/21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/17/21,0.003781,0.00,0.00,0.00,0.00,3283.58,560.03,893.67,387.89,1723.32,1349.51
1/18/21,0.004099,0.00,0.00,0.00,0.00,3559.55,607.09,968.78,420.49,1868.16,1462.93
1/19/21,0.000607,0.00,0.00,0.00,0.00,527.50,89.97,143.57,62.31,276.85,216.80
1/21/21,0.002019,0.00,0.00,0.00,0.00,1753.14,299.00,477.14,207.10,920.10,720.52
1/22/21,0.001797,0.00,0.00,0.00,0.00,1560.48,266.15,424.71,184.34,818.99,641.34
1/23/21,0.002965,0.00,0.00,0.00,0.00,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/24/21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/25/21,0.002965,0.00,0.00,0.00,0.00,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/26/21,0.000226,0.00,0.00,0.00,0.00,196.66,33.54,53.52,23.23,103.21,80.83
1/27/21,0.001848,0.00,0.00,0.00,0.00,1604.54,273.66,436.70,189.55,842.11,659.45
1/28/21,0.001536,0.00,0.00,0.00,0.00,544.58,821.01,148.21,568.66,700.22,548.33
1/29/21,0.002057,0.00,0.00,0.00,0.00,0.00,1647.17,0.00,1140.89,937.48,734.13
1/30/21,0.002057,0.00,0.00,0.00,0.00,0.00,1647.17,0.00,1140.89,937.48,734.13
1/31/21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/1/21,0.002057,0.00,0.00,0.00,0.00,0.00,1647.17,0.00,1140.89,937.48,734.13
2/2/21,0.001026,0.00,0.00,0.00,0.00,0.00,821.80,0.00,569.21,467.72,366.27
