,date,hospitalized
1,2/19/20,0
2,2/20/20,0
3,2/21/20,0
4,2/22/20,0
5,2/23/20,0
6,2/24/20,0
7,2/25/20,0
8,2/26/20,0
9,2/27/20,0
10,2/28/20,0
11,2/29/20,0
12,3/1/20,0
13,3/2/20,0
14,3/3/20,0
15,3/4/20,0
16,3/5/20,0
17,3/6/20,0
18,3/7/20,0
19,3/8/20,0
20,3/9/20,0
21,3/10/20,0
22,3/11/20,0
23,3/12/20,0
24,3/13/20,0
25,3/14/20,0
26,3/15/20,0
27,3/16/20,0
28,3/17/20,0
29,3/18/20,0
30,3/19/20,0
31,3/20/20,0
32,3/21/20,0
33,3/22/20,0
34,3/23/20,0
35,3/24/20,0
36,3/25/20,0
37,3/26/20,0
38,3/27/20,0
39,3/28/20,0
40,3/29/20,0
41,3/30/20,0
42,3/31/20,0
43,4/1/20,0
44,4/2/20,0
45,4/3/20,0
46,4/4/20,0
47,4/5/20,0
48,4/6/20,0
49,4/7/20,0
50,4/8/20,0
51,4/9/20,0
52,4/10/20,0
53,4/11/20,0
54,4/12/20,0
55,4/13/20,0
56,4/14/20,0
57,4/15/20,0
58,4/16/20,0
59,4/17/20,0
60,4/18/20,0
61,4/19/20,0
62,4/20/20,0
63,4/21/20,0
64,4/22/20,270.483418
65,4/23/20,246.563115
66,4/24/20,249.32315
67,4/25/20,242.883069
68,4/26/20,250.243162
69,4/27/20,252.083185
70,4/28/20,324.764103
71,4/29/20,218.042755
72,4/30/20,261.283301
73,5/1/20,263.123325
74,5/2/20,194.122453
75,5/3/20,234.602964
76,5/4/20,229.082894
77,5/5/20,287.043627
78,5/6/20,244.723092
79,5/7/20,243.80308
80,5/8/20,232.762941
81,5/9/20,286.123615
82,5/10/20,218.042755
83,5/11/20,209.76265
84,5/12/20,235.522976
85,5/13/20,234.602964
86,5/14/20,248.403139
87,5/15/20,286.123615
88,5/16/20,184.922336
89,5/17/20,181.24229
90,5/18/20,199.642522
91,5/19/20,273.243452
92,5/20/20,275.083476
93,5/21/20,257.603255
94,5/22/20,233.682953
95,5/23/20,223.562825
96,5/24/20,218.042755
97,5/25/20,217.122743
98,5/26/20,184.922336
99,5/27/20,213.442697
100,5/28/20,214.362708
101,5/29/20,211.602674
102,5/30/20,154.561953
103,5/31/20,183.082313
104,6/1/20,245.643104
105,6/2/20,170.20215
106,6/3/20,290.723673
107,6/4/20,247.483127
108,6/5/20,189.522395
109,6/6/20,228.162883
110,6/7/20,165.602092
111,6/8/20,186.76236
112,6/9/20,213.442697
113,6/10/20,172.962185
114,6/11/20,234.602964
115,6/12/20,230.002906
116,6/13/20,244.723092
117,6/14/20,278.763522
118,6/15/20,230.922918
119,6/16/20,290.723673
120,6/17/20,310.963929
121,6/18/20,368.00465
122,6/19/20,349.604417
123,6/20/20,385.484871
124,6/21/20,324.764103
125,6/22/20,293.483708
126,6/23/20,448.965673
127,6/24/20,443.445603
128,6/25/20,459.085801
129,6/26/20,448.965673
130,6/27/20,418.605289
131,6/28/20,490.366196
132,6/29/20,439.765556
133,6/30/20,511.526463
134,7/1/20,502.326347
135,7/2/20,584.207381
136,7/3/20,514.286498
137,7/4/20,482.086091
138,7/5/20,420.445312
139,7/6/20,366.164626
140,7/7/20,631.127974
141,7/8/20,553.846998
142,7/9/20,494.966254
143,7/10/20,537.286789
144,7/11/20,480.246068
145,7/12/20,409.405173
146,7/13/20,389.164917
147,7/14/20,499.566312
148,7/15/20,573.167242
149,7/16/20,477.486033
150,7/17/20,400.205057
151,7/18/20,465.525882
152,7/19/20,340.404301
153,7/20/20,362.48458
154,7/21/20,438.845545
