,date,admits,,,
1,2/22/20,0,,,
2,2/23/20,0,,,
3,2/24/20,0,,,
4,2/25/20,0,,,
5,2/26/20,0,,,
6,2/27/20,0,,,
7,2/28/20,0,,,
8,2/29/20,0,,,
9,3/1/20,0,,,
10,3/2/20,0,,,
11,3/3/20,0,,,
12,3/4/20,0,,,
13,3/5/20,0,,,
14,3/6/20,0,,,
15,3/7/20,0,,,
16,3/8/20,0,,,
17,3/9/20,0,,,
18,3/10/20,0,,,
19,3/11/20,0,,,
20,3/12/20,0,,,
21,3/13/20,0,,,
22,3/14/20,0,,,
23,3/15/20,0,,,
24,3/16/20,0,,,
25,3/17/20,0,,,
26,3/18/20,3,,,
27,3/19/20,5.85714,,,
28,3/20/20,5.71429,,,
29,3/21/20,5.71429,,,
30,3/22/20,5.71429,,,
31,3/23/20,14,,,
32,3/24/20,15.71429,,,
33,3/25/20,17.14286,,,
34,3/26/20,17.28573,,,
35,3/27/20,20.71429,,,
36,3/28/20,20.71429,,,
37,3/29/20,23.7143,,,
38,3/30/20,20.2857,,,
39,3/31/20,21.4286,,,
40,4/1/20,25.99996,,,
41,4/2/20,32.71429,,,
42,4/3/20,47.28569,,,
43,4/4/20,52.99995,,,
44,4/5/20,54.42854,,,
45,4/6/20,53.57147,,,
46,4/7/20,59.7143,,,
47,4/8/20,59.00002,,,
48,4/9/20,59.1429,,,
49,4/10/20,49.1429,,,
50,4/11/20,52.5714,,,
51,4/12/20,52.71431,,,
52,4/13/20,60.28569,,,
53,4/14/20,51.85718,,,
54,4/15/20,66.2857,,,
55,4/16/20,67.2857,,,
56,4/17/20,67.71423,,,
57,4/18/20,59.42861,,,
58,4/19/20,60.42858,,,
59,4/20/20,48.85714,,,
60,4/21/20,58.85716,,,
61,4/22/20,50.85712,,,
62,4/23/20,45.71431,,,
63,4/24/20,46.57143,,,
64,4/25/20,59.85712,,,
65,4/26/20,57.42862,,,
66,4/27/20,67.42859,,,
67,4/28/20,68.1429,,,
68,4/29/20,67.42861,,,
69,4/30/20,71.28567,,,
70,5/1/20,73.28567,,,
71,5/2/20,65.57145,,,
72,5/3/20,66.71429,,,
73,5/4/20,65.42861,,,
74,5/5/20,66.42856,,,
75,5/6/20,63.42862,,,
76,5/7/20,65.42859,,,
77,5/8/20,66.00001,,,
78,5/9/20,72.00003,,,
79,5/10/20,70.71431,,,
80,5/11/20,68.71429,,,
81,5/12/20,64.7143,,,
82,5/13/20,68.71427,,,
83,5/14/20,69.28563,,,
84,5/15/20,69.8571,,,
85,5/16/20,64.28565,,,
86,5/17/20,66.28572,,,
87,5/18/20,69.99999,,,
88,5/19/20,76.85717,,,
89,5/20/20,76.99999,,,
90,5/21/20,74.5714,,,
91,5/22/20,77.71436,,,
92,5/23/20,79.85713,,,
93,5/24/20,78.71428,,,
94,5/25/20,79.85716,,,
95,5/26/20,79.28568,,,
96,5/27/20,77.85707,,,
97,5/28/20,82.57144,,,
98,5/29/20,83.42848,,,
99,5/30/20,87.14287,,,
100,5/31/20,89.00007,,,
101,6/1/20,85.42858,,,
102,6/2/20,87.71424,,,
103,6/3/20,94.85723,,,
104,6/4/20,93.71428,,,
105,6/5/20,103.7143,,,
106,6/6/20,88.00002,,,
107,6/7/20,87.4286,,,
108,6/8/20,86.14288,,,
109,6/9/20,101.99995,,,
110,6/10/20,114.14284,,,
111,6/11/20,128.42856,,,
112,6/12/20,163.5719,,,
113,6/13/20,175.14295,,,
114,6/14/20,201.42879,,,
115,6/15/20,215.42879,,,
116,6/16/20,249.00036,,,
117,6/17/20,267.99957,,,
118,6/18/20,301.85673,,,
119,6/19/20,292.85706,,,
120,6/20/20,340.71459,,,
121,6/21/20,389.28481,,,
122,6/22/20,471.57159,,,
123,6/23/20,465.572,,,
124,6/24/20,489.9994,,,
125,6/25/20,515.85644,,,
126,6/26/20,530.42854,,,
127,6/27/20,501.7141,,,
128,6/28/20,547.4286,,,
129,6/29/20,570.9996,,,
130,6/30/20,612.28489,,,
131,7/1/20,658.14203,,,
132,7/2/20,701.9999,,,
133,7/3/20,743.99966,,,
134,7/4/20,759.42853,,,
135,7/5/20,650.85741,,,
136,7/6/20,710.1427,,,
137,7/7/20,688.5724,,,
138,7/8/20,694.142,,,
139,7/9/20,718.5708,,,
140,7/10/20,751.1429,,,
141,7/11/20,786.4286,,,
142,7/12/20,822.7136,,,
143,7/13/20,699.7148,,,
144,7/14/20,756.1429,,,
145,7/15/20,767.0003,,,
146,7/16/20,718.5712,,,
147,7/17/20,685.4285,,,
148,7/18/20,654.7146,,,
149,7/19/20,656.4285,,,
150,7/20/20,657.2858,,,
151,7/21/20,563.0004,,,
152,7/22/20,537.8578,,,
153,7/23/20,503.8565,,,
154,7/24/20,467.4289,,,
155,7/25/20,457.286,,,
156,7/26/20,439.7145,,,
157,7/27/20,407.8571,,,
158,7/28/20,431.1424,,,
159,7/29/20,376.4281,,,
160,7/30/20,350,,,
161,7/31/20,349.7144,,,
162,8/1/20,340.5715,,,
163,8/2/20,299.7144,,,
164,8/3/20,437.5711,,,
165,8/4/20,440.286,,,
166,8/5/20,463.71425,,,
167,8/6/20,475.99957,,,
168,8/7/20,482.7143,,,
169,8/8/20,461.42901,,,
170,8/9/20,480.85703,,,
171,8/10/20,443.42864,,,
172,8/11/20,438.1432,,,
173,8/12/20,397.28513,,,
174,8/13/20,397.71384,,,
175,8/14/20,384.8568,,,
176,8/15/20,386.57133,,,
177,8/16/20,388.99994,,,
178,8/17/20,323.71434,,,
179,8/18/20,332.99977,,,
180,8/19/20,348.00053,,,
181,8/20/20,339.42827,,,
182,8/21/20,329.14314,,,
183,8/22/20,309.57099,,,
184,8/23/20,314.57177,,,
185,8/24/20,286.28524,,,
186,8/25/20,240.4283,,,
187,8/26/20,210.99971,,,
188,8/27/20,188.14241,,,
189,8/28/20,164.57127,,,
190,8/29/20,164.00013,,,
191,8/30/20,154.14286,,,
192,8/31/20,141.71432,,,
193,9/1/20,128.71428,,,
194,9/2/20,120.2858,,,
195,9/3/20,115.28568,,,
196,9/4/20,129.14293,,,
197,9/5/20,149.71427,,,
198,9/6/20,138.14291,,,
199,9/7/20,122.4286,,,
200,9/8/20,137.7143,,,
201,9/9/20,145.14284,,,
202,9/10/20,156.85719,,,
203,9/11/20,152.57143,,,
204,9/12/20,141.85722,,,
205,9/13/20,154.99962,,,
206,9/14/20,176.14332,,,
207,9/15/20,180.42805,,,
208,9/16/20,191.14297,,,
209,9/17/20,186.1424,,,
210,9/18/20,200.1432,,,
211,9/19/20,202.857,,,
212,9/20/20,184.8568,,,
213,9/21/20,192.4287,,,
214,9/22/20,173.7144,,,
215,9/23/20,165.5714,,,
216,9/24/20,162.57141,,,
217,9/25/20,159.57144,,,
218,9/26/20,153.14281,,,
219,9/27/20,169.99986,,,
220,9/28/20,159.28546,,,
221,9/29/20,161.57162,,,
222,9/30/20,158.28564,,,
223,10/1/20,144.14287,,,
224,10/2/20,130.14293,,,
225,10/3/20,141.71433,,,
226,10/4/20,131.57159,,,
227,10/5/20,127.71439,,,
228,10/6/20,138.14284,,,
229,10/7/20,128.85712,,,
230,10/8/20,131.14284,,,
231,10/9/20,128.28574,,,
232,10/10/20,114.85722,,,
233,10/11/20,117,,,
234,10/12/20,124.2857,,,
235,10/13/20,111.00003,,,
236,10/14/20,137.14284,,,
237,10/15/20,141.28575,,,
238,10/16/20,144.14289,,,
239,10/17/20,154.4289,,,
240,10/18/20,151.8572,,,
241,10/19/20,134.4286,,,
242,10/20/20,134.85689,,,
243,10/21/20,120.85711,,,
244,10/22/20,121.99999,,,
245,10/23/20,122.71428,,,
246,10/24/20,120.42853,,,
247,10/25/20,122.71427,,,
248,10/26/20,135.28577,,,
249,10/27/20,147.8571,,,
250,10/28/20,135.85719,,,
251,10/29/20,135.42855,,,
252,10/30/20,136.14287,,,
253,10/31/20,140.71428,,,
254,11/1/20,337.8567,,,
255,11/2/20,323.2853,,,
256,11/3/20,340.2855,,,
257,11/4/20,362.8568,,,
258,11/5/20,382.7139,,,
259,11/6/20,397.4287,,,
260,11/7/20,398.714,,,
261,11/8/20,216.2862,,,
262,11/9/20,248.2859,,,
263,11/10/20,267.85753,,,
264,11/11/20,263.57177,,,
265,11/12/20,484.42847,,,
266,11/13/20,505.00059,,,
267,11/14/20,543.85716,,,
268,11/15/20,535.42926,,,
269,11/16/20,528.85766,,,
270,11/17/20,545.71421,,,
271,11/18/20,583.00077,,,
272,11/19/20,397.99954,,,
273,11/20/20,428.57176,,,
274,11/21/20,442.85693,,,
275,11/22/20,465.57106,,,
276,11/23/20,487.71386,,,
277,11/24/20,535.85756,,,
278,11/25/20,581.99989,,,
279,11/26/20,513.5715,,,
280,11/27/20,484.28556,,,
281,11/28/20,443.99986,,,
282,11/29/20,427.14244,,,
283,11/30/20,415.14244,,,
284,12/1/20,516.85746,,,
285,12/2/20,497.85667,,,
286,12/3/20,560.85729,,,
287,12/4/20,588.42907,,,
288,12/5/20,677.28509,,,
289,12/6/20,699.28573,,,
290,12/7/20,694.7137,,,
291,12/8/20,607.8567,,,
292,12/9/20,624.5711,,,
293,12/10/20,670.5711,,,
294,12/11/20,680.2854,,,
295,12/12/20,639.9999,,,
296,12/13/20,640.857,,,
297,12/14/20,771.4285,,,
298,12/15/20,729.2857,,,
299,12/16/20,769.5711,,,
300,12/17/20,801.7137,,,
301,12/18/20,845.8573,,,
302,12/19/20,851.4287,,,
303,12/20/20,870.1427,,,
304,12/21/20,813.286,,,
305,12/22/20,967.5709,,,
306,12/23/20,970.5711,,,
307,12/24/20,831.4289,,,
308,12/25/20,688.8567,,,
309,12/26/20,763.2857,,,
310,12/27/20,732.4282,,,
311,12/28/20,831.85746,,,
312,12/29/20,919.7139,,,
313,12/30/20,959.715,,,
314,12/31/20,1103.5707,,,
315,1/1/21,1112.8565,,,
316,1/2/21,1088.7135,,,
317,1/3/21,1114.7134,,,
318,1/4/21,1291.1426,,,
319,1/5/21,1194.4285,,,
320,1/6/21,1202.8577,,,
321,1/7/21,1241.286,,,
322,1/8/21,1423.8575,,,
323,1/9/21,1363.4286,,,
324,1/10/21,1308.2858,,,
325,1/11/21,1297.1428,,,
326,1/12/21,1178.8571,,,
327,1/13/21,1271.2851,,,
328,1/14/21,1356.4288,,,
329,1/15/21,1164.5717,,,
330,1/16/21,1371.5714,,,
331,1/17/21,1428.2853,,,
332,1/18/21,1146.4289,,,
333,1/19/21,1467.7148,,,
334,1/20/21,1350.9996,,,
335,1/21/21,1355.8576,,,
336,1/22/21,1501.9999,,,
337,1/23/21,1279.286,,,
338,1/24/21,1263.286,,,
339,1/25/21,1453.428,,,
340,1/26/21,1199.0001,,,
341,1/27/21,1205.2855,,,
342,1/28/21,1126.8564,,,
343,1/29/21,1124.8571,,,
344,1/30/21,1115.4287,,,
345,1/31/21,1136.7148,,,
346,2/1/21,1742.429,,,
347,2/2/21,1769.0011,,,
348,2/3/21,1717.0004,,,
349,2/4/21,1653.2864,,,
350,2/5/21,1635.8559,,,
351,2/6/21,1617.5709,,,
352,2/7/21,1582.7139,,,
353,2/8/21,856.7144,,,
354,2/9/21,770.2862,,,
355,2/10/21,724.5719,,,
356,2/11/21,678.1436,,,
357,2/12/21,632.7136,,,
358,2/13/21,603.4278,,,
359,2/14/21,573.4281,,,
360,2/15/21,404.1429,,,
361,2/16/21,278.42903,,,
362,2/17/21,188.99994,,,
363,2/18/21,100.28573,,,
364,2/19/21,20.28576,,,
365,2/20/21,16.85714,,,
366,2/21/21,55.57144,,,
367,2/22/21,142.85713,,,
368,2/23/21,203.42903,,,
369,2/24/21,249.00027,,,
370,2/25/21,289.99956,,,
371,2/26/21,345.28524,,,
372,2/27/21,383.28567,,,
373,2/28/21,347.28567,,,
374,3/1/21,508.2855,,,
375,3/2/21,507.9994,,,
376,3/3/21,504.5707,,,
377,3/4/21,489.57134,,,
378,3/5/21,472.4286,,,
379,3/6/21,444.71441,,,
380,3/7/21,460.71441,,,
381,3/8/21,264.28583,,,
382,3/9/21,226.99957,,,
383,3/10/21,229.14334,,,
384,3/11/21,253.28543,,,
385,3/12/21,245.71424,,,
386,3/13/21,247.42826,,,
387,3/14/21,239.71426,,,
388,3/15/21,258.2861,,,
389,3/16/21,254.8576,,,
390,3/17/21,236.2857,,,
391,3/18/21,214.85711,,,
392,3/19/21,210.71427,,,
393,3/20/21,216.57136,,,
394,3/21/21,217.71436,,,
