date,prev
11/24/21,0.01
11/25/21,0.05
11/26/21,0.1
11/27/21,0.13
11/28/21,0.16
11/29/21,0.17
11/30/21,0.18
12/1/21,0.19
12/2/21,0.2
12/3/21,0.21
12/4/21,0.23
12/5/21,0.24
12/6/21,0.26
12/7/21,0.27
12/8/21,0.29
12/9/21,0.3
12/10/21,0.32
12/11/21,0.34
12/12/21,0.35
12/13/21,0.37
12/14/21,0.39
12/15/21,0.41
12/16/21,0.43
12/17/21,0.45
12/18/21,0.47
12/19/21,0.49
12/20/21,0.51
12/21/21,0.52
12/22/21,0.54
12/23/21,0.56
12/24/21,0.58
12/25/21,0.6
12/26/21,0.62
12/27/21,0.64
12/28/21,0.66
12/29/21,0.67
12/30/21,0.69
12/31/21,0.71
1/1/22,0.72
1/2/22,0.74
1/3/22,0.76
1/4/22,0.77
1/5/22,0.78
1/6/22,0.8
1/7/22,0.81
1/8/22,0.82
1/9/22,0.83
1/10/22,0.84
1/11/22,0.85
1/12/22,0.86
1/13/22,0.87
1/14/22,0.88
1/15/22,0.89
1/16/22,0.9
1/17/22,0.91
1/18/22,0.92
1/19/22,0.93
1/20/22,0.94
1/21/22,0.95
1/22/22,0.97
1/23/22,1
1/24/22,1
1/25/22,1
1/26/22,1
1/27/22,1
1/28/22,1
1/29/22,1
1/30/22,1
1/31/22,1
2/1/22,1
2/2/22,1
2/3/22,1
2/4/22,1
2/5/22,1
2/6/22,1
2/7/22,1
2/8/22,1
2/9/22,1
2/10/22,1
2/11/22,1
2/12/22,1
2/13/22,1
2/14/22,1
2/15/22,1
2/16/22,1
2/17/22,1
2/18/22,1
2/19/22,1
2/20/22,1
2/21/22,1
2/22/22,1
2/23/22,1
2/24/22,1
2/25/22,1
2/26/22,1
2/27/22,1
2/28/22,1
