date,prev
12/13/21,1
12/14/21,1
12/15/21,1
12/16/21,1
12/17/21,1
12/18/21,1
12/19/21,1
12/20/21,1
12/21/21,1
12/22/21,1
12/23/21,1
12/24/21,1
12/25/21,1
12/26/21,1
12/27/21,1
12/28/21,1
12/29/21,1
12/30/21,1
12/31/21,1
1/1/22,1
1/2/22,1
1/3/22,1
1/4/22,1
1/5/22,1
1/6/22,1
1/7/22,1
1/8/22,1
1/9/22,1
1/10/22,1
1/11/22,1
1/12/22,1
1/13/22,1
1/14/22,1
1/15/22,1
1/16/22,1
1/17/22,1
1/18/22,1
1/19/22,1
1/20/22,1
1/21/22,1
1/22/22,1
1/23/22,1
1/24/22,1
1/25/22,1
1/26/22,1
1/27/22,1
1/28/22,1
1/29/22,1
1/30/22,1
1/31/22,1
2/1/22,1
2/2/22,1
2/3/22,1
2/4/22,1
2/5/22,1
2/6/22,1
2/7/22,1
2/8/22,1
2/9/22,1
2/10/22,1
2/11/22,1
2/12/22,1
2/13/22,1
2/14/22,1
2/15/22,1
2/16/22,1
2/17/22,1
2/18/22,1
2/19/22,1
2/20/22,1
2/21/22,1
2/22/22,1
2/23/22,1
2/24/22,1
2/25/22,1
2/26/22,1
2/27/22,1
2/28/22,1
3/1/22,1
3/2/22,1
3/3/22,1
3/4/22,1
3/5/22,1
3/6/22,1
3/7/22,1
3/8/22,1
3/9/22,1
3/10/22,1
3/11/22,1
3/12/22,1
3/13/22,1
3/14/22,1
3/15/22,1
3/16/22,1
3/17/22,1
3/18/22,1
3/19/22,1
3/20/22,1
3/21/22,1
3/22/22,1
3/23/22,1
3/24/22,1
3/25/22,1
3/26/22,1
3/27/22,1
3/28/22,1
3/29/22,1
3/30/22,1
3/31/22,1
